DateTime,"A Raymond Fasteners Pvt. Ltd Site - Measured AC Power, avg (kW)",Inverter01MeasuredDCVoltage1,"Inverter-01 - Measured DC Voltage 2, avg (V)",Inverter01MeasuredDCCurrent1,"Inverter-01 - Measured DC Current 2, avg (A)"
12-02-2023 09:25,88.029,622.62,620.98,14.058,14.122
12-02-2023 09:30,72.221,618.38,619.42,11.868,11.904
12-02-2023 09:35,44.811,610.96,607.52,7.642,7.738
12-02-2023 09:40,31.681,601.14,599.24,5.586,5.67
12-02-2023 09:45,38.712,599.6,600.24,6.546,6.596
12-02-2023 09:50,54.364,608.4,608.36,8.962,8.998
12-02-2023 09:55,64.714,618.68,616.94,10.51,10.586
12-02-2023 10:00,71.72,618.54,619.22,11.458,11.506
12-02-2023 10:05,73.567,618.82,616.56,11.776,11.84
12-02-2023 10:10,81.058,615.46,612.82,12.874,12.988
12-02-2023 10:15,97.554,617.44,617.4,15.296,15.248
12-02-2023 10:20,80.799,601.7,602.34,11.844,12.29
12-02-2023 10:25,114.898,605.12,605.28,17.242,17.274
12-02-2023 10:30,123.843,609.06,611.12,20.964,20.832
12-02-2023 10:35,107.241,608.4,607.86,17.39,17.284
12-02-2023 10:40,134.737,611.92,606.54,21.09,21.46
12-02-2023 10:45,86.175,600.26,598.58,14.682,14.382
12-02-2023 10:50,100.047,606.9,605.72,16.234,16.11
12-02-2023 10:55,86.576,603.16,602.94,14.62,14.638
12-02-2023 11:00,88.935,603.3,604.08,14.788,14.778
12-02-2023 11:05,94.569,603.58,608.1,15.54,15.44
12-02-2023 11:10,121.907,605.52,608.14,19.536,19.498
12-02-2023 11:15,157.844,600.32,605.02,26.532,26.348
12-02-2023 11:20,200.906,594.52,596.68,33.47,33.21
12-02-2023 11:25,166.713,587.88,588.64,27.466,26.81
12-02-2023 11:30,176.495,588.14,589.64,29.856,29.694
12-02-2023 11:35,179.829,585.22,587.02,30.594,30.352
12-02-2023 11:40,135.824,581.42,583.96,23.748,23.322
12-02-2023 11:45,96.958,580.3,582.54,16,15.688
12-02-2023 11:50,120.113,585.38,587.32,17.158,17.076
12-02-2023 11:55,230.444,592.24,589.74,33.004,33.034
12-02-2023 12:00,259.999,580.82,584.92,38.13,37.716
12-02-2023 12:05,240.961,573.82,581.28,35.412,34.852
12-02-2023 12:10,240.915,570.62,572.42,35.76,35.544
