DateTime,"A Raymond Fasteners Pvt. Ltd Site - Measured AC Power, avg (kW)",Inverter01MeasuredDCVoltage1,"Inverter-01 - Measured DC Voltage 2, avg (V)",Inverter01MeasuredDCCurrent1,"Inverter-01 - Measured DC Current 2, avg (A)"
12-01-2023 00:00,0,0,0,0,0
12-01-2023 00:05,0,0,0,0,0
12-01-2023 00:10,0,0,0,0,0
12-01-2023 00:15,0,0,0,0,0
12-01-2023 00:20,0,0,0,0,0
12-01-2023 00:25,0,0,0,0,0
12-01-2023 00:30,0,0,0,0,0
12-01-2023 00:35,0,0,0,0,0
12-01-2023 00:40,0,0,0,0,0
12-01-2023 00:45,0,0,0,0,0
12-01-2023 00:50,0,0,0,0,0
12-01-2023 00:55,0,0,0,0,0
12-01-2023 01:00,0,0,0,0,0
12-01-2023 01:05,0,0,0,0,0
12-01-2023 01:10,0,0,0,0,0
12-01-2023 01:15,0,0,0,0,0
12-01-2023 01:20,0,0,0,0,0
12-01-2023 01:25,0,0,0,0,0
12-01-2023 01:30,0,0,0,0,0
12-01-2023 01:35,0,0,0,0,0
12-01-2023 01:40,0,0,0,0,0
12-01-2023 01:45,0,0,0,0,0
12-01-2023 01:50,0,0,0,0,0
12-01-2023 01:55,0,0,0,0,0
12-01-2023 02:00,0,0,0,0,0
12-01-2023 02:05,0,0,0,0,0
12-01-2023 02:10,0,0,0,0,0
12-01-2023 02:15,0,0,0,0,0
12-01-2023 02:20,0,0,0,0,0
12-01-2023 02:25,0,0,0,0,0
12-01-2023 02:30,0,0,0,0,0
12-01-2023 02:35,0,0,0,0,0
12-01-2023 02:40,0,0,0,0,0
12-01-2023 02:45,0,0,0,0,0
12-01-2023 02:50,0,0,0,0,0
12-01-2023 02:55,0,0,0,0,0
12-01-2023 03:00,0,0,0,0,0
12-01-2023 03:05,0,0,0,0,0
12-01-2023 03:10,0,0,0,0,0
12-01-2023 03:15,0,0,0,0,0
12-01-2023 03:20,0,0,0,0,0
12-01-2023 03:25,0,0,0,0,0
12-01-2023 03:30,0,0,0,0,0
12-01-2023 03:35,0,0,0,0,0
12-01-2023 03:40,0,0,0,0,0
12-01-2023 03:45,0,0,0,0,0
12-01-2023 03:50,0,0,0,0,0
12-01-2023 03:55,0,0,0,0,0
12-01-2023 04:00,0,0,0,0,0
12-01-2023 04:05,0,0,0,0,0
12-01-2023 04:10,0,0,0,0,0
12-01-2023 04:15,0,0,0,0,0
12-01-2023 04:20,0,0,0,0,0
12-01-2023 04:25,0,0,0,0,0
12-01-2023 04:30,0,0,0,0,0
12-01-2023 04:35,0,0,0,0,0
12-01-2023 04:40,0,0,0,0,0
12-01-2023 04:45,0,0,0,0,0
12-01-2023 04:50,0,0,0,0,0
12-01-2023 04:55,0,0,0,0,0
12-01-2023 05:00,0,0,0,0,0
12-01-2023 05:05,0,0,0,0,0
12-01-2023 05:10,0,0,0,0,0
12-01-2023 05:15,0,0,0,0,0
12-01-2023 05:20,0,0,0,0,0
12-01-2023 05:25,0,0,0,0,0
12-01-2023 05:30,0,0,0,0,0
12-01-2023 05:35,0,0,0,0,0
12-01-2023 05:40,0,0,0,0,0
12-01-2023 05:45,0,0,0,0,0
12-01-2023 05:50,0,0,0,0,0
12-01-2023 05:55,0,0,0,0,0
12-01-2023 06:00,0,0,0,0,0
12-01-2023 06:05,0,0,0,0,0
12-01-2023 06:10,0,0,0,0,0
12-01-2023 06:15,0,0,0,0,0
12-01-2023 06:20,0,0,0,0,0
12-01-2023 06:25,0,0,0,0,0
12-01-2023 06:30,0,0,0,0,0
12-01-2023 06:35,0,0,0,0,0
12-01-2023 06:40,0,0,0,0,0
12-01-2023 06:45,0,118.52,118.4,0,0
12-01-2023 06:50,0,583.66,586.36,0.04,0.038
12-01-2023 06:55,1.086,501.26,474.4,0.28,0.29
12-01-2023 07:00,2.76,517.44,490.6,0.526,0.548
12-01-2023 07:05,4.799,531.06,538.2,0.83,0.836
12-01-2023 07:10,6.583,554.22,563.62,1.046,1.056
12-01-2023 07:15,8.309,573.7,573.3,1.268,1.292
12-01-2023 07:20,11.482,582.6,584.68,1.668,1.696
12-01-2023 07:25,14.828,599.64,596.16,2.07,2.116
12-01-2023 07:30,16.121,599.42,604.86,2.402,2.44
12-01-2023 07:35,16.785,605.62,608.96,2.746,2.776
12-01-2023 07:40,16.075,602.12,600.86,2.652,2.716
12-01-2023 07:45,15.779,606.38,600.6,2.62,2.688
12-01-2023 07:50,19.04,611.34,603.82,3.176,3.256
12-01-2023 07:55,21.672,616.56,612.36,3.602,3.694
12-01-2023 08:00,24.193,613.32,612.72,3.964,4.024
12-01-2023 08:05,27.88,617.56,614.3,4.62,4.696
12-01-2023 08:10,28.279,618.9,624.32,4.85,4.854
12-01-2023 08:15,25.205,616.32,615.04,4.424,4.452
12-01-2023 08:20,27.876,613.48,608.62,4.552,4.652
12-01-2023 08:25,27.187,620.02,620.04,4.614,4.676
12-01-2023 08:30,25.41,616.06,609.44,4.138,4.284
12-01-2023 08:35,30.377,618,617.98,5.132,5.168
12-01-2023 08:40,28.838,614.1,619,4.782,4.828
12-01-2023 08:45,33.125,619.88,620.66,5.626,5.67
12-01-2023 08:50,30.997,613.3,619.46,5.336,5.31
12-01-2023 08:55,31.817,614.44,620.84,5.4,5.404
12-01-2023 09:00,38.461,620.52,623.38,6.36,6.41
12-01-2023 09:05,39.307,619.48,620.36,6.56,6.638
12-01-2023 09:10,39.661,622.36,620.96,6.424,6.556
12-01-2023 09:15,40.179,622.92,618.84,6.63,6.798
12-01-2023 09:20,39.665,622.78,618.5,6.59,6.732
12-01-2023 09:25,39.524,619.08,617.06,6.58,6.714
12-01-2023 09:30,40.544,619.92,618.88,6.868,6.932
12-01-2023 09:35,36.991,618.86,616.36,6.384,6.442
12-01-2023 09:40,38.662,616.04,611.62,6.292,6.472
12-01-2023 09:45,45.33,620.16,617.38,7.478,7.626
12-01-2023 09:50,54.62,621.52,621.54,9.308,9.34
12-01-2023 09:55,65.915,625.74,624.84,11.11,11.128
12-01-2023 10:00,57.94,625.86,624.32,9.87,9.934
12-01-2023 10:05,64.163,616.8,615.28,10.342,10.516
12-01-2023 10:10,78.076,626.28,625.46,13.03,13.078
12-01-2023 10:15,65.195,619.44,618.96,11.38,11.264
12-01-2023 10:20,75.214,618.78,617.64,13.192,12.992
12-01-2023 10:25,113.629,623.04,617.82,19.784,19.086
12-01-2023 10:30,139.045,627.36,621.1,20.35,21.802
12-01-2023 10:35,79.543,612.46,609.68,13.306,13.454
12-01-2023 10:40,101.498,608.44,610.64,17.098,17.046
12-01-2023 10:45,139.723,611.46,611.46,23.114,22.864
12-01-2023 10:50,186.462,607.78,605.72,29.118,29.22
12-01-2023 10:55,190.635,601.3,597.98,31.58,31.47
12-01-2023 11:00,187.612,595.68,596.74,29.048,29.136
12-01-2023 11:05,184.788,592.68,591.52,30.534,30.55
12-01-2023 11:10,199.683,585.18,590.08,34.168,33.57
12-01-2023 11:15,201.545,578.58,583.82,34.438,34.108
12-01-2023 11:20,178.02,581.22,579.98,30.328,30.264
12-01-2023 11:25,174.561,579.44,578.28,30.372,30.066
12-01-2023 11:30,190.141,578.68,578.4,32.646,32.51
12-01-2023 11:35,188.451,577.78,575.68,32.528,32.482
12-01-2023 11:40,189.41,579.16,576.72,32.776,32.688
12-01-2023 11:45,186.837,577.6,573.74,32.682,32.626
12-01-2023 11:50,185.708,575.72,572.58,32.646,32.628
12-01-2023 11:55,186.542,570.56,568.56,33.34,33.268
12-01-2023 12:00,183.972,567.5,569.02,33.122,32.812
12-01-2023 12:05,183.021,570.1,569.82,33,32.794
12-01-2023 12:10,186.677,565.9,566.04,33.92,33.798
12-01-2023 12:15,191.387,562.64,564.4,35.142,34.816
12-01-2023 12:20,161.881,565.64,565.36,29.062,28.302
12-01-2023 12:25,142.291,564.16,572.68,27.68,26.342
12-01-2023 12:30,191.688,559.8,587.5,35.054,32.822
12-01-2023 12:35,194.813,557.42,565.04,36.912,36.106
12-01-2023 12:40,185.458,561.26,561,34.674,34.556
12-01-2023 12:45,182.31,562.56,562.92,34.18,34
12-01-2023 12:50,182.48,559.8,562.06,34.772,34.404
12-01-2023 12:55,178.764,560.94,561.4,33.77,33.612
12-01-2023 13:00,200.9,561.32,559.28,35.318,35.3
12-01-2023 13:05,222.104,557.74,560.84,35.434,35.064
12-01-2023 13:10,214.925,559.54,559.44,34.074,33.944
12-01-2023 13:15,201.824,562.68,562.94,29.538,29.622
12-01-2023 13:20,73.371,556.16,552.12,11.818,12.072
12-01-2023 13:25,241.287,569.92,571.9,37.126,37.056
12-01-2023 13:30,201.843,574.8,572.6,32.34,32.362
12-01-2023 13:35,217.557,570.42,566.04,34.534,34.646
12-01-2023 13:40,226.381,567.84,571.7,36.218,35.824
12-01-2023 13:45,228.285,570.9,573.46,36.38,36.036
12-01-2023 13:50,224.418,571.26,573.8,35.78,35.47
12-01-2023 13:55,217.192,567.16,572.16,34.94,34.524
12-01-2023 14:00,209.538,569,571.92,33.844,33.55
12-01-2023 14:05,206.53,569.66,572.96,33.564,33.228
12-01-2023 14:10,203.638,573.08,576.66,33.052,32.7
12-01-2023 14:15,199.559,572.18,572.6,32.394,32.238
12-01-2023 14:20,200.167,571.96,572.56,32.534,32.394
12-01-2023 14:25,198.627,575.5,577.54,32.258,32.024
12-01-2023 14:30,187.542,576.42,579.5,31.392,30.982
12-01-2023 14:35,173.591,576.04,576.06,27.99,27.904
12-01-2023 14:40,68.004,551.74,555.24,10.46,10.826
12-01-2023 14:45,190.662,581.42,585.68,31.298,30.974
12-01-2023 14:50,175.425,582.66,584.18,28.958,28.748
12-01-2023 14:55,119.837,581.06,584.78,22.76,22.454
12-01-2023 15:00,108.296,580.18,582.22,18.862,18.72
12-01-2023 15:05,75.417,572.82,568.54,12.63,12.64
12-01-2023 15:10,50.712,575.2,572.52,8.226,8.3
12-01-2023 15:15,164.446,595.62,594,29.128,28.872
12-01-2023 15:20,148.111,592.04,600.02,25.02,24.62
12-01-2023 15:25,145.566,593.5,597.14,25.374,25.108
12-01-2023 15:30,140.668,594.22,597.58,24.702,24.452
12-01-2023 15:35,136.661,595.1,600.04,24.26,23.958
12-01-2023 15:40,128.248,597.16,598.54,22.904,22.752
12-01-2023 15:45,121.517,599.88,600,21.88,21.79
12-01-2023 15:50,115.638,600.96,602.92,21.058,20.898
12-01-2023 15:55,111.347,600.3,604.46,20.566,20.336
12-01-2023 16:00,106.66,602.18,603.3,19.924,19.796
12-01-2023 16:05,102.023,604.98,605.96,19.21,19.092
12-01-2023 16:10,95.173,604.68,605.96,18.214,18.09
12-01-2023 16:15,87.376,606.24,605.82,16.92,16.854
12-01-2023 16:20,82.54,608.02,609.16,16.208,16.104
12-01-2023 16:25,76.973,607.78,608.84,15.374,15.298
12-01-2023 16:30,71.259,606.28,609.42,14.516,14.418
12-01-2023 16:35,66.367,608.4,610.56,13.826,13.718
12-01-2023 16:40,60.385,609.8,611.04,12.818,12.74
12-01-2023 16:45,54.75,609.5,610.6,11.852,11.796
12-01-2023 16:50,49.069,611.28,610.86,10.728,10.71
12-01-2023 16:55,43.311,610.26,611.56,9.548,9.526
12-01-2023 17:00,38.398,610.12,608.42,8.55,8.558
12-01-2023 17:05,34.28,610.42,608.4,7.624,7.648
12-01-2023 17:10,28.89,608,606.12,6.41,6.452
12-01-2023 17:15,23.921,602.98,601.58,5.296,5.332
12-01-2023 17:20,18.963,599.88,598.34,4.128,4.168
12-01-2023 17:25,14.896,591.42,589.18,3.202,3.25
12-01-2023 17:30,11.569,589.64,582.74,2.438,2.496
12-01-2023 17:35,8.105,571.58,574.4,1.758,1.766
12-01-2023 17:40,5.061,556.92,558.9,1.08,1.09
12-01-2023 17:45,2.845,537.12,539.18,0.604,0.604
12-01-2023 17:50,1.301,507.84,489.6,0.31,0.32
12-01-2023 17:55,0.395,453.84,460.82,0.18,0.182
12-01-2023 18:00,0,87.18,86.42,0.112,0.114
12-01-2023 18:05,0,0,0,0.11,0.11
12-01-2023 18:10,0,0,0,0.022,0.022
12-01-2023 18:15,0,0,0,0,0
12-01-2023 18:20,0,0,0,0,0
12-01-2023 18:25,0,0,0,0,0
12-01-2023 18:30,0,0,0,0,0
12-01-2023 18:35,0,0,0,0,0
12-01-2023 18:40,0,0,0,0,0
12-01-2023 18:45,0,0,0,0,0
12-01-2023 18:50,0,0,0,0,0
12-01-2023 18:55,0,0,0,0,0
12-01-2023 19:00,0,0,0,0,0
12-01-2023 19:05,0,0,0,0,0
12-01-2023 19:10,0,0,0,0,0
12-01-2023 19:15,0,0,0,0,0
12-01-2023 19:20,0,0,0,0,0
12-01-2023 19:25,0,0,0,0,0
12-01-2023 19:30,0,0,0,0,0
