Source,Voltage,Current,Pmax
,531.89,8.74,
,547.6,8.72,
,563.29,8.7,
,578.81,8.66,
,594.18,8.57,
,609.22,8.41,
,623.81,8.2,
,637.95,7.93,
,651.38,7.6,
,664.17,7.2,
,676.09,6.76,
,687.08,6.28,
,697.2,5.78,
,706.29,5.27,
,714.48,4.76,
,721.74,4.28,
,728.16,3.82,
,733.78,3.4,
,738.76,3.01,
,743,2.66,
,746.66,2.35,
,749.93,2.08,
,752.7,1.83,
,755.04,1.62,
,757.16,1.43,
,758.86,1.26,
,760.47,1.12,
,761.78,1,
,762.94,0.89,
,763.9,0.8,
,764.74,0.71,
,765.48,0.65,
,766.05,0.58,
,766.57,0.53,
,767.08,0.49,
,767.53,0.45,
,767.82,0.41,
,768.17,0.38,
,768.43,0.35,
,768.72,0.33,
,768.88,0.31,
,769.14,0.29,
,769.26,0.27,
,769.39,0.26,
,769.59,0.24,
,769.71,0.23,
,769.78,0.22,
,769.87,0.21,
,769.97,0.2,
,770.03,0.19,
,770.13,0.18,
,770.16,0.18,
,770.23,0.17,
,770.29,0.17,
,770.55,0.14,
,770.55,0.14,
,770.55,0.14,
,770.58,0.14,
,770.61,0.14,
,770.61,0.14,
,770.61,0.14,
,770.61,0.14,
,770.64,0.14,
,770.64,0.14,
,770.61,0.14,
,770.61,0.13,
,770.68,0.13,
,770.68,0.13,
,770.68,0.13,
,770.68,0.13,
,770.71,0.13,
,,,
Inv2-S5 1-22-2024 11-20 AM (GMT+5).csv,35.22,9.21,
,54.02,9.19,
,72.64,9.18,
,91.22,9.17,
,109.73,9.16,
,128.15,9.15,
,146.48,9.13,
,164.74,9.12,
,182.96,9.11,
,201.06,9.1,
,219.1,9.09,
,237.1,9.08,
,255,9.06,
,272.84,9.05,
,290.62,9.04,
,308.3,9.02,
,325.69,9.02,
,342.53,9,
,359.24,8.98,
,375.93,8.97,
,392.51,8.95,
,409.03,8.95,
,425.52,8.94,
,441.94,8.93,
,458.3,8.92,
,474.56,8.91,
,490.83,8.89,
,506.93,8.88,
,522.97,8.86,
,538.94,8.84,
,554.85,8.82,
,570.66,8.78,
,586.18,8.72,
,601.57,8.61,
,616.64,8.42,
,631.19,8.18,
,645.23,7.88,
,658.56,7.52,
,671.08,7.1,
,682.67,6.64,
,693.48,6.15,
,703.27,5.65,
,712.18,5.14,
,720.13,4.65,
,727.17,4.18,
,733.38,3.73,
,738.92,3.32,
,743.65,2.96,
,747.93,2.62,
,751.5,2.32,
,754.68,2.05,
,757.45,1.82,
,759.8,1.61,
,761.92,1.42,
,763.69,1.26,
,765.2,1.12,
,766.49,1,
,767.71,0.9,
,768.64,0.81,
,769.54,0.73,
,770.32,0.66,
,770.99,0.59,
,771.54,0.54,
,772.02,0.49,
,772.5,0.45,
,772.83,0.42,
,773.18,0.39,
,773.5,0.36,
,773.69,0.33,
,773.92,0.31,
,774.14,0.29,
,774.34,0.28,
,774.43,0.26,
,774.66,0.25,
,774.76,0.23,
,774.88,0.22,
,774.95,0.21,
,775.04,0.21,
,775.14,0.19,
,775.21,0.19,
,775.33,0.18,
,775.4,0.17,
,775.43,0.16,
,775.56,0.16,
,775.59,0.15,
,775.78,0.14,
,775.82,0.13,
,775.82,0.13,
,775.78,0.13,
,775.82,0.13,
,775.85,0.13,
,775.85,0.13,
,775.85,0.13,
,775.88,0.13,
,775.85,0.13,
,775.88,0.13,
,775.88,0.13,
,775.88,0.13,
,775.91,0.12,
,775.91,0.13,
