Source,Voltage,Current,Power (Watts)
,33.50,0.18,6.1
,,,
Inv1-S3-Module4 11-4-2022 11-43 AM (GMT+5).csv,5.90,17.52,103.3
,7.18,17.50,125.7
,8.07,17.49,141.2
,9.02,17.48,157.7
,9.88,17.48,172.7
,10.77,17.47,188.1
,11.68,17.47,204.1
,12.57,17.47,219.6
,13.46,17.46,235.0
,14.35,17.46,250.5
,15.27,17.45,266.4
,16.15,17.45,281.8
,17.04,17.43,297.1
,17.93,17.41,312.2
,18.79,17.40,326.8
,19.71,17.38,342.5
,20.53,17.37,356.7
,21.48,17.36,372.8
,22.31,17.34,386.7
,23.07,17.21,397.1
,23.80,17.01,404.8
,24.50,16.73,409.9
,25.23,16.37,413.1
,25.87,15.94,412.3
,26.47,15.43,408.6
,27.02,14.87,401.9
,27.56,14.27,393.2
,27.98,13.62,381.1
,28.43,12.96,368.4
,28.85,12.29,354.4
,29.20,11.62,339.3
,29.56,10.96,324.0
,29.86,10.32,308.0
,30.18,9.69,292.5
,30.39,9.09,276.4
,30.69,8.53,261.7
,30.92,7.98,246.9
,31.13,7.47,232.6
,31.31,6.99,218.7
,31.48,6.54,205.8
,31.60,6.11,193.0
,31.78,5.71,181.5
,31.90,5.34,170.2
,32.04,4.99,160.0
,32.16,4.67,150.2
,32.28,4.37,141.0
,32.40,4.09,132.5
,32.52,3.83,124.5
,32.57,3.59,117.0
,32.66,3.36,109.8
,32.72,3.15,103.2
,32.81,2.96,97.1
,32.87,2.78,91.4
,32.93,2.61,86.0
,32.95,2.46,81.1
,33.01,2.31,76.4
,33.01,2.18,71.9
,33.10,2.05,67.9
,33.16,1.93,64.1
,33.19,1.82,60.5
,33.25,1.72,57.2
,33.25,1.62,53.9
,33.28,1.53,50.9
,33.28,1.44,48.1
,33.34,1.36,45.3
,33.37,1.29,43.0
,33.36,1.21,40.5
,33.42,1.15,38.4
,33.42,1.08,36.2
,33.45,1.03,34.3
,33.45,0.97,32.4
,33.48,0.91,30.6
,33.48,0.87,29.0
,33.51,0.82,27.6
,33.51,0.78,26.0
,33.54,0.74,24.7
,33.54,0.70,23.3
,33.54,0.66,22.0
,33.57,0.63,21.0
,33.57,0.59,19.8
,33.57,0.56,18.9
,33.60,0.53,17.8
,33.63,0.50,16.9
,33.63,0.48,16.1
,33.63,0.45,15.2
,33.63,0.43,14.4
,33.66,0.41,13.6
,33.69,0.38,13.0
,33.63,0.36,12.2
,33.69,0.34,11.5
,33.66,0.32,10.8
,33.72,0.30,10.3
,33.72,0.29,9.9
,33.69,0.28,9.3
,33.69,0.26,8.9
,33.69,0.25,8.5
,33.72,0.24,8.2
,33.69,0.23,7.8
,33.66,0.22,7.4
,33.72,0.21,7.0
,,,
Inv1-S3-Module5 11-4-2022 11-44 AM (GMT+5).csv,5.40,17.04,92.0
,6.81,17.04,116.0
,7.67,17.03,130.6
